Graduation Year;Student;Dissertation;Advisor;Committee Members
1994;Craig Ronald Kollman;Rare Event Simulation in Radiation Transport;Glynn;DiCiccio, Adhikari
1994;Yoichi Kuwana;Optimal Consumption/Investment Decisions with Partial Observations;Siegmund;Siegmund, Duffie, Dembo
1994;Steve Edward Stern;Asymptotic Corrections for Adjusted Profile Likelihoods;DiCiccio;DiCiccio, Martin, Romano
1994;Linfeng You;Tests and Confidence Regions for Spectral Distribution Functions Based on the Kolmogorov-Smirnov Statistic;Anderson;Anderson, Romano, Johnstone
1993;Kenneth Charles Baron;Predicting Changes in Financial Time Series;Anderson;Anderson, Switzer, Attansio
1993;Eleanor Feingold;Modeling a New Genetic Mapping Method;Siegmund;Siegmund, Adhikari, Whittermore
1993;Douglas J. Haney;Methods for Analyzing Discrete-Time, Finite State Markov Chains;Olshen;Olshen, Brown, Johnstone
1993;Alex McMillan;The Risk of the Stein Estimator;Diaconis;Diaconis, Johnstone, Stein
1993;David Eric Shapiro;Meta-Analysis in ROC Space: Combining Independent Studies of a Diagnostic Test;Moses;Moses, Efron, Johnstone
1993;Abraham Joshua Wyner;String Matching Theorems and Applications to Data Compression and Statistics;Adhikari;Adhikari, Cover, Dembo
1993;Limin Zhang;Asymptotically Optimal Sequential Tests of Linear Hypotheses in Multiparameter Exponential Families;Lai;Lai, Dembo, DiCiccio
1992;Rebecca Betensky;A Study of Sequential Procedures for Comparing Three Treatments;Siegmund;Siegmund, Lai, Brown
1992;Ennapadam Seshan Venkatraman;Consistency Results in Multiple Change-Point Problems;Siegmund;Siegmund, Olshen, Lai
1992;Guangrui Zhu;Least Squares Estimation and Adaptive Prediction in Non-Linear Stochastic Regression Models with Applications to Time Series and Stochastic Systems;Lai;Lai, Anderson, Johns
1991;Mark Matthews;Linear Statistical Models and Methods for Function Estimation on a Space-time Domain, with Applications to Geophysical Inverse Problems;Johnstone;Johnstone, Switzer, Segall
1991;Daniel Rabinowitz;Estimating Undiscovered Resources Using Exploration History;Siegmund;Siegmund, Switzer, Efron
1991;Qizhi Wang;Edgeworth Expansions and Bootstrap Methods in Survival Analysis;Lai;Lai, Efron, Martin
1991;Huiyue Xiao;Nonparametric Procedures for Conditional CDF Approximation in Spatial Fields;Switzer;Switzer, Journel, Solomon
1991;Hang Paul Zhang;A Study of Change-Point Problems;Siegmund;Siegmund, Johnstone, Dembo
1991;Heping Zhang;Confidence Regions in Nonlinear Regression and Geometry;Siegmund;Siegmund. Olshen, Johnstone
1990;Kirk Cameron;Two-Stage Sampling of Spatial Fields;Switzer;Switzer, Solomon, Journel
1990;Kim-Anh Do;Some Results in Statistical Modeling and Estimation for Software Reliability Problems;Friedman;Friedman, Johns, Solomon
1990;James Robert Koehler;Design and Estimation Issues in Computer Experiments;Owen;Owen
1990;Chitra Yeshwant Lele;Admissibility Results in Loss Estimation;Johnstone;Johnstone, Stein, Siegmund
1990;Catherine Loader;Change Point Problems for Poisson Processes;Siegmund;Siegmund
1990;Sally Claire Morton;Interpretable Projection Pursuit;Friedman;Friedman, Efron, Owen
1990;Jan Otto Pedersen;IDL- A Statistical Programming Environment;Friedman;Friedman, Johnstone, Kaplan
1990;Dimitris Nicolas Politis;A General Resampling Scheme for Time Series with Weak Dependence;Romano;Romano, Lai, Efron
1990;David John Wright;Restricted Sign Randomization Tests;Moses;Moses, DiCiccio, Efron
1989;Joseph T. Chang;Random Walks, Moderate Deviations, and the Cusum Procedure;Siegmund;Siegmund, Lai, Shepp
1989;Kevin Coakley;Spatial Statistics for Predicting Flow Through a Rock Fracture;Switzer;Switzer, Owen, Long
1989;Eric Holmgren;Utilizing P-P Plots in Meta-Analysis As General Measures of Treatment Effects;Olkin;Olkin
1989;Jiayang Sun;$P$-Values in Projection Pursuit;Siegmund;Siegmund, Friedman, Johnstone
1989;Achilles Venetoulias;Parameter Estimation in Image Processing Models;Switzer;Switzer, Efron, Owen
1989;Yanning Zhang;Expected Sample Size of Truncated Sequential Tests;Siegmund;Siegmund, Lai, Fill
1988;Naomi Altman;Smoothing Data with Correlated Errors;Johnstone;Johnstone
1988;Eduardo Engel;A Road to Randomness;Diaconis;Diaconis
1988;Timothy C. Hesterberg;Advances in Importance Sampling;Efron;Efron, Johns, Glynn
1988;Donald R. Hoover;Selective Inclusion-Exclusion Methods and Applications;Solomon;Solomon, Olkin, Efron
1988;Hyune-ju Kim;Change-Point Problems in Regression;Siegmund;Siegmund, Lai, Johnstone
1988;Christian Leger;Use of the Bootstrap in an Adaptive Statistical Procedure;Romano;Romano, DiCiccio, Efron
1988;Wei-Liem Loh;Estimating Covariance Matrices;Stein;Stein, Olkin, Johnstone
1988;Hal Steven Stern;Gamma Processes, Paired Comparison and Ranking;Cover;Cover, Switzer, Efron
1988;Clifton D. Sutton;Random Packing and Random Covering Sequences;Solomon;Solomon, Diaconis, Johns
1987;Mark Donald Knowles;Simultaneous Confidence Bands for Random Functions;Switzer;Switzer, Johnstone, Owen
1987;Art B. Owen;Nonparametric Conditional Estimation;Friedman;Friedman, Johnstone, Solomon
1986;Richard D. DeVeaux;Parameter Estimation for a Mixture of Linear Regressions;Diaconis;Diaconis, Moses, Solomon
1986;Inchi Hu;Repeated Significance Tests for Exponential Families;Siegmund;Siegmund
1986;Peter Claver Matthews;Covering Problems for Random Walks on Spheres and Finite Groups;Diaconis;Diaconis, Siegmund, Johnstone
1986;Mark R. Segal;Regression Trees Based on Rank Statistics;Friedman;Friedman, Moses, Efron
1985;Deborah Burr-Doss;On Errors-in-Variables in Bioassay Regression -- Berkson Case;Miller;Miller, Brown, Efron
1985;Khosrow Dehnad;Boundary Detection in Smoothers for Classification of Spatial Data;Switzer;Switzer, Friedman, Solomon
1985;Huang Hsu;Invariant Tests and Likelihood Ratio Tests for Multivariate Elliptically Contoured Distributions;Anderson;Anderson
1985;Joseph Charles Marhoul;A Model for Large Sparse Contingency Tables;Friedman;Friedman, Solomon, Efron
1985;Robert Tibshirani;Local Likelihood Estimation;Efron;Friedman, Switzer
1984;Sherrie Emiko Emoto;The Preferred Choice Between the Maximum Likelihood Estimator and the Kaplan-Meier Estimate;Miller;Miller, Efron, Brown
1984;Timothy Allen Green;Asymptotic Enumeration of Latin Rectangles and Associated Waiting Times;Steele;Steele, Switzer, Fill
