Graduation Year;Student;Dissertation;Advisor;Committee Members
1970;Kenneth Laurence Weldon;Stochastic Storage Processes with Multiple Slope Linear Inputs and Outputs;Miller;Miller, Veinott, Gani
1969;John Kelso Abraham;The Local Power of Sequential Tests Subject to an Expected Sample Size Restriction;Chernoff;Chernoff, Siegmund, Hall
1969;Peter Ole Anderson;Estimation of Simultaneous Systems of Linear Equations with Nonlinear Constraints Among the Coefficients;Arrow;Arrow, Chernoff, Parzen
1969;James Norman Arvesen;Jackknifing U-Statistics;Miller;Miller, Moses, Woodworth
1969;Frederick Philip Glick, Jr.;Estimating Unconditional Probabilities of Correct Classification;Switzer;Switzer, Efron, Moses, Cover
1969;Susan Helen Horn;The Optimality Criterion in Compound Decision Problems;Johns;Johns, Chernoff, Cover
1969;Maxwell William John Layard;Asymptotically Robust Tests about Covariance Matrices;Miller;Miller, Olkin, Moses
1969;Ian Bruce MacNeill;Limit Processes for Spectral Distribution Functions with Applications to Goodness of Fit Testing;Parzen;Parzen, Olshen, Anderson
1969;Stephen Lane Portnoy;Formal Bayes Estimation with Application to a Random Effects Analysis of Variance Model;Stein;Stein, Efron, Olshen
1969;Marshall Sylvan;Estimation and Hypothesis Testing for Wishart Matrices when Part of the Covariance Matrix is Known;Olkin;Olkin, Lieberman, Efron
1968;Mark Brown;Convergence in Distribution of Stochastic Intervals;Parzen;Parzen, Chernoff, Olshen
1968;Paul Ira Feder;On the Likelihood Ratio Statistic with Applications to Broken Line Regression;Chernoff;Chernoff, Solomon, Johns
1968;Martin Alva Hamilton;The Robbins-Monro Stochastic Approximation Approach to a Discrimination Problem;Miller;Miller, Johns, Moses
1968;Michael David Perlman;One-Sided Problems in Multivariate Analysis;Olkin;Olkin, Stein, Miller
1968;Sheldon Mark Ross;Denumerable Markovian Decision Models;Lieberman;Lieberman, Woodworth, Veinott
1967;Norman Edward Breslow;A Class of Sequential Procedures for Medical Trials;Efron;Efron, Miller, Moses
1967;Jean-Paul Georges Gimon;A Continuous Time Inventory Model;Chernoff;Chernoff, Arrow, Efron
1967;Carl Neracher Morris;Admissible Bayes Procedures and Classes of Epsilon Bayes Procedures for Testing Hypotheses in a Multinomial Distribution;Stein;Stein, Olkin, Chernoff
1967;Richard Miles Royall;A Class of Nonparametric Estimates of a Smooth Regression Function;Johns;Johns, Miller, Solomon
1967;James Vincent Zidek;On the Admissibility of Formal Bayes Estimators;Stein;Stein, Chernoff, Olkin
1966;Barry Charles Arnold;A Co-Related Urn-Scheme for a Continuum of Responses;Suppes;Suppes, Olkin, Estes
1966;Gerald Roy Chase;An Empirical Bayes Approach in Routine Bioassay;Johns;Johns, Efron, Moses
1966;Morris LeRoy Eaton;Some Optimal Properties of Ranking Procedures with Applications in Multivariate Analysis;Olkin;Olkin, Solomon, Miller
1966;George Ronald Hext;A New Approach to Time Series with Mixed Spectra;Parzen;Parzen, VanNess, Nerlove
1966;Paul William Holland;A Variation on the Minimum Chi-Square Test;Suppes;Suppes, Miller, Atkinson
1966;Myles Hollander;Rank Tests for Randomized Blocks when the Alternatives Have an A Priori Ordering;Moses;Moses, Miller, Stein
1966;Paul Thayer Holmes;Semi-Regular Functions in Markov Chains;Miller;Miller, Parzen, Stein
1966;Joseph Born Kadane;Comparison of Estimators in Simultaneous Equation Econometric Models when the Residuals are Small;Chernoff;Chernoff, Arrow, Shadale
1966;Paul Robert Milch;A Multi-Dimensional Linear Growth Birth and Death Process;Karlin;Karlin, Parzen, Miller
1966;Nigel Felix Nettheim;The Estimation of Coherence;Parzen;Parzen, VanNess, Moses
1966;Galen Richard Shorack;Nonparametric Tests and Estimation of a Scale in the Two Sample Problem;Moses;Moses, Lieberman, Johns
1966;Donald Derk Swain;Bounds and Rates of Convergence for the Extended Compound Estimation Problem in the Sequence Case;Johns;Johns, Chernoff, Lieberman
1966;David Luther Sylwester;On Maximum Likelihood Estimation for Two-Phase Linear Regression;Miller;Miller, Moses, Lieberman
1966;Grace Goldsmith Wahba;Cross Spectral Distribution Theory for Mixed Spectra and Estimation of Prediction Filter Coefficients;Parzen;Parzen, Olkin, Stein
1965;Stanley Fromovitz;A Class of Inventory Models;Wagner;Wagner, Lieberman
1965;Maurice Frank Norman;A Probabilistic Model for Free-Responding;Suppes;Suppes, Karlin, Bowker
1965;Elias Alphonse Parent, Jr.;Sequential Ranking Procedures;Lieberman;Lieberman, Moses, Stein
1965;Joseph Julius Schoderbek;Applications of Stochastic Competition Processes to Weapon System Survival;Lieberman;Lieberman, Olkin
1965;Chaim Sternin;Statistical Sequencing of Archaeological Data;Solomon;Solomon, Moses
1965;Leland Taylor Stewart;Continuous Sampling by Variables Under Destructive Testing;Lieberman;Lieberman, Johns, Olkin
1965;Howard Milton Taylor, III;Statistical Control;Lieberman;Lieberman, Johns
1964;Alvin John Baranchik;Multiple Regression and Estimation of the Mean of a Multivariate Normal Distribution;Stein;Stein, Olkin
1964;Jean Isaac Donio;Some Stochastic Learning Models with Time as a Continuous Parameter;Suppes;Suppes, Karlin, Moses
1964;Bradley Efron;Problems in Probability of a Geometric Nature;Miller;Miller, Solomon
1964;Mary Lena Epling;A Multivariate Stochastic Approximation Procedure;Moses;Moses, Miller
1964;Leon Jay Gleser;The Comparison of Multivariate Tests of Hypotheses by Means of Bahadur Efficiency;Olkin;Olkin, Solomon
1964;Melvin Jay Hinich;Large-Sample Estimation of an Unknown Discrete Waveform which is Randomly Repeating in Gaussian Noise;Chernoff;Chernoff
1964;Melville Robert Klauber;Some Estimates of Location;Moses;Moses, Lieberman
1964;Sheldon James Press;Some Hypothesis Testing Problems Involving Multivariate Normal Distributions with Unequal and Intraclass Structural Covariance Matrices;Olkin;Olkin, Lieberman, Abramson
1964;Stephen Mitchell Samuels;On a Chebyshev-Type Inequality for Sums of Independent Random Variables;Karlin;Karlin
1964;Mirella Casini Schaerf;Estimation of the Covariance and Autoregressive Structure of a Stationary Time Series;Parzen;Parzen, Granger
1964;Jegadevan Balendran Selliah;Estimation and Testing Problems in a Wishart Distribution;Olkin;Olkin
1964;Muni Shankar Srivastava;Optimum Procedures for Classification and Related Problems;Stein;Stein, Olkin
1964;Helen Jean Terzaghi Thiebaux;A Randomness Problems in Macromolecular Sequences;Miller;Miller, Pattee, Moses
1964;Kenneth Ted Wallenius;Biased Sampling: A Noncentral Hypergeometric Probability Distribution;Lieberman;Lieberman, Johns
1964;Howard Jacob Weiner;On Age Dependent Branching Processes;Miller;Miller, Johns
1964;Paul Laszlo Zador;Development and Evaluation of Procedures for Quantizing Multivariate Distributions;Solomon;Solomon, Stein
1963;Raghunandan Prasad Bhargava;Multivariate Tests of Hypotheses with Incomplete Data;Olkin;Olkin, Solomon
1963;Helena Antoinette Chmura Kraemer;Point Estimation in Learning Models;Suppes;Suppes, Miller, Atkinson
1963;Jean Jacques Fortier;Contributions to Item Selection;Solomon;Solomon, Lieberman
1963;Hans Jacob Zweig;Counter Models and Applications to Detection Problems;Solomon;Solomon, Chernoff
1962;Donald Lyon Bentley;Contributions to Counter Theory with Applications to Rod Vision;Miller;Miller, Moses
1962;Murray Aaron Geisler;Some Statistical Properties of Simulation Models Used in Studying Inventory Problems;Scarf;Scarf, Lieberman
1962;Narayan Chandra Giri;On Tests with Likelihood Ratio Criteria in Some Problems of Multivariate Analysis;Stein;Stein, Solomon
1962;Arnold Frank Goodman;The Selection of an Optimum Sampling Partition;Chernoff;Chernoff, Parzen
1962;Donald Lee Iglehart;Dynamic Programming and Stationary Analysis of Inventory Problems;Scarf;Scarf, Karlin
1962;Charles Joel Stone;Limit Theorems for Birth and Death Processes and Diffusion Processes;Karlin;Karlin, Lamperti
1962;William John Studden;Asymptotic Laws for Birth and Death Processes;McGregor;McGregor, Karlin
1961;Richard Eugene Barlow;Applications of Semi-Markov Processes to Counter and Reliability Problems;Karlin;Karlin, Parzen
1961;Lloyd Franklin Bell;A Mathematical Theory of Guarantee Policies;Lieberman;Lieberman, Johns
1961;Bruce Marvin Hill;A Test of Linearity Versus Convexity of a Median Regression Curve;Moses;Moses, Miller
1961;Joseph Henry Kullback;A Quality Control Model for Complex Items;Lieberman;Lieberman, Johns
1961;Marcel Fernand Neuts;Games on the Unit-Square with Discrete Payoff;Karlin;Karlin, Solomon
1961;Edward Burton Perrin;Estimation of Parameters in Systems Related to the Observations by an Unknown Monotone Transformation;Moses;Moses, Miller
1961;Richard Collom Singleton;Steady State Properties of Selected Inventory Models;Karlin;Karlin, Scarf
1961;Walter Max Woods;Variables Sampling Inspection Procedures which Guarantee Acceptance of Perfectly Screened Lots;Lieberman;Lieberman, Solomon
1960;Arthur Edward Albert;The Sequential Design of Experiments for Infinitely Many States of Nature;Chernoff;Chernoff, Bowker
1960;Stuart Alan Bessler;Theory and Applications of the Sequential Design of Experiments, K-Actions and Infinitely Many Experiments;Chernoff;Chernoff, Moses
1960;William Edwin Pruitt;Bilateral Birth and Death Processes;Karlin;Karlin, Solomon
1960;Donald Merle Roberts;Approximations to Optimal Policies in a Dynamic Inventory Model;Scarf;Scarf, Karlin
1960;Nils Donald Ylvisaker;On Time Series Analysis and Reproducing Kernel Spaces;Parzen;Parzen, Johns
1960;Peter William Zehna;Optimal Inventory Depletion;Lieberman;Lieberman, Johns
1959;William Dollard Commins, Jr.;Asymptotic Variance as an Approximation to Expected Loss for Maximum Likelihood Estimates;Chernoff;Chernoff, Stein
1959;Frank Proschan;Polya-Type Distributions in Renewal Theory, with an Application to an Inventory Problem;Scarf;Scarf, Karlin
1958;Donald Guthrie, Jr.;Bayes Acceptance Sampling Procedures for Large Lots;Johns;Johns, Lieberman
1958;Bernard Harris;Determining Bounds on Integrals with Applications to Cataloging Problems;Stein;Stein, Chernoff
1958;Rupert Griel Miller, Jr.;A Contribution to the Theory of Bulk Queues;Karlin;Karlin, Bowker
1957;Geoffrey Gregory;An Economic Approach to the Choice of Continuous Sampling Plans;Lieberman;Lieberman, Savage
1956;John Winsor Pratt;Some Results in the Decision Theory of One-Parameter Multivariate Polya-Type Distributions;Karlin;Karlin, Chernoff
1956;Anadi Ranjan Roy;On Chi-Square Statistics with Variable Intervals;Rubin;Rubin, Chernoff
1956;Jagdish Sharan Rustagi;On Minimizing and Maximizing a Certain Integral with Statistical Applications;Chernoff;Chernoff, Lieberman
1956;Donald Robert Truax;Multi-Decision Problems for the Multivariate Exponential Family;Karlin;Karlin, Daly
1956;Irving Weiss;Limiting Distributions in Some Occupancy Problems;Daly;Daly, Chernoff
1956;Oscar Wesler;A Modified Minimax Principle;Rubin;Rubin, Chernoff
1955;Charles Henri Boll;Comparison of Experiments in the Infinite Case and the Use of Invariance in Establishing Sufficiency;Rubin;Rubin, Bowker
1955;Paul Leopold Meyer;An Application of the Invariance Principle to the Student Hypothesis;Girshick;Girshick, Rubin
1955;George Joseph Resnikoff;Contributions to Sampling Inspection by Variables;Bowker;Bowker, Lieberman
1955;Anna Elizabeth Vaughan;Estimation of a Biological Population Which is Subject to a Biased Mortality;Rubin;Rubin, Bowker
1954;Stephen Gatchell Allen, Jr.;A Class of Minimax Tests for One-Sided Composite Hypotheses;Girshick;Girshick, Rubin
1954;Russell Newton Bradt;On the Design and Comparison of Certain Dichotomous Experiments;Girshick;Girshick, Chernoff
1953;Om Prakash Aggarwal;Bayes and Minimax Procedures in Sampling from Finite Populations;Rubin;Rubin, Girshick
1953;Kenneth David Cann Haley;Estimation of the Dosage Mortality Response Relationship when the Dose is Subject to Error;Bowker;Bowker, Moses
1953;Gerald J. Lieberman;Contributions to Sampling Inspection;Bowker;Bowker, Girshick
1951;Lincoln Ellsworth Moses;An Iterative Construction of the Optimum Sequential Decision Procedure when the Cost Function is Linear;Girshick;Girshick, Bowker
1950;Herbert Solomon;Distribution of the Measure of a Two-Dimensional Random Set;Rubin;Rubin, Bowker
